image_uid,category,category_p,p_cat_face_person,p_cat_animal,p_cat_landmark_place,p_cat_landscape_nature,p_cat_object,p_cat_vehicle,p_cat_food,p_cat_scene_with_people,p_cat_cartoon_art,attr_famous,attr_face_visible,attr_single_object,attr_indoor,attr_natural,attr_text_present,attr_colorful,attr_emotional,attr_child,attr_smiling,fine,fine_p
img_0149,face_person,0.9220662,0.9220662,0.010698265,0.0021396286,0.0017811476,0.0128375515,0.0016615489,0.0018107189,0.038949516,0.008055445,0.9076276,0.9812479,0.9680436,0.4702538,0.587902,0.5549534,0.082569666,0.28348723,0.0672624,0.19947208,actor,0.6340008
img_0150,face_person,0.9002453,0.9002453,0.022993937,0.0023110355,0.002389914,0.023729002,0.005272767,0.0038688753,0.03281777,0.006371475,0.80310017,0.9937816,0.96517664,0.55976015,0.27170435,0.29075935,0.46572727,0.30192414,0.08035083,0.119068414,actor,0.36892545
img_0151,face_person,0.9113371,0.9113371,0.011462219,0.0011070489,0.0023384476,0.024918452,0.0029807428,0.0037788944,0.027194966,0.014882126,0.4165004,0.9612039,0.86356115,0.45445183,0.3935575,0.4525113,0.3070373,0.50692564,0.06526925,0.021670701,elderly person,0.41741833
img_0152,face_person,0.89785624,0.89785624,0.03134899,0.001252241,0.0031286252,0.021955362,0.005141787,0.007625582,0.022851178,0.008840078,0.8080007,0.984118,0.9548538,0.51940566,0.46978772,0.14734945,0.33971423,0.36388656,0.18613492,0.1756684,actor,0.73577976
img_0153,face_person,0.91562855,0.91562855,0.012075984,0.0004378387,0.00095921394,0.007602178,0.0014659669,0.0016497406,0.053268123,0.0069123236,0.76079166,0.964497,0.9533251,0.51156604,0.37125945,0.2821332,0.11114752,0.87274784,0.06420452,0.01813161,actor,0.66317034
img_0154,face_person,0.75781643,0.75781643,0.08308594,0.0047857496,0.0074184383,0.044823468,0.014516787,0.008585701,0.05800732,0.02096011,0.84565187,0.5286018,0.90619653,0.57078284,0.5334397,0.46788496,0.029684622,0.25960523,0.037514444,0.22994934,musician,0.5811189
img_0155,face_person,0.84457403,0.84457403,0.027728902,0.0041608685,0.0026771235,0.04329502,0.0035482903,0.0044724233,0.03472747,0.034815874,0.5397604,0.92941797,0.7755454,0.5562513,0.6140989,0.44404814,0.14102821,0.59176934,0.019799478,0.021936709,actor,0.6505235
img_0156,animal,0.61887074,0.12874524,0.61887074,0.0023669193,0.012767872,0.12411526,0.006744912,0.06881556,0.013988464,0.023585113,0.31167802,0.9068298,0.9054096,0.7810966,0.8388007,0.60120904,0.982312,0.28164014,0.033370826,0.22853391,marine animal,0.70709836
img_0157,food,0.43890592,0.23144294,0.039793734,0.0018471129,0.002961654,0.061487198,0.0015143827,0.43890592,0.2072454,0.014801692,0.8343049,0.97453284,0.9770294,0.8842846,0.8157964,0.31887898,0.81593966,0.32954803,0.06533468,0.1903466,fictional movie character,0.49465245
img_0158,face_person,0.92562824,0.92562824,0.039013572,0.0019874477,0.0009946658,0.010994025,0.0024341755,0.0016315123,0.012952694,0.004363647,0.86444616,0.9927651,0.8991326,0.6322407,0.20666285,0.2683388,0.9650715,0.8854083,0.053877562,0.24190749,musician,0.6802455
img_0159,animal,0.9313466,0.034804646,0.9313466,0.0014312153,0.0026307816,0.016030723,0.0041564736,0.0028539873,0.0017625717,0.0049830233,0.6884263,0.7759064,0.954119,0.083351634,0.9479496,0.41581175,0.9820884,0.17525034,0.02604943,0.06722927,big cat,0.8163493
img_0160,face_person,0.5545615,0.5545615,0.058654267,0.00722535,0.0036646477,0.14871061,0.008141596,0.0061431145,0.056758225,0.15614074,0.27682224,0.29726467,0.68301785,0.4627988,0.17944628,0.57086456,0.94500613,0.22718018,0.029112743,0.057296388,superhero,0.8720942
img_0161,face_person,0.68508726,0.68508726,0.025396537,0.0023602957,0.030451555,0.14259711,0.0042074975,0.024526825,0.01614718,0.069225736,0.41570103,0.8596016,0.90326273,0.5445124,0.6948077,0.6245673,0.68540275,0.1744913,0.089971565,0.033848025,politician,0.08949705
img_0162,face_person,0.4201754,0.4201754,0.067932285,0.053630937,0.0018001492,0.021289056,0.009756101,0.0071538133,0.050664917,0.3675973,0.75604534,0.5745277,0.86191565,0.33829737,0.20689778,0.33581907,0.91003954,0.44302142,0.06828404,0.38729647,superhero,0.42690653
img_0163,face_person,0.9610169,0.9610169,0.010192799,0.0004900285,0.0016659389,0.017836621,0.00080365094,0.0023320548,0.0023238938,0.003338011,0.63665456,0.993779,0.9209716,0.6492816,0.90684605,0.1247841,0.56788045,0.09243993,0.044281535,0.016455058,actor,0.21510778
img_0164,scene_with_people,0.6237653,0.10182261,0.0193882,0.0043034116,0.003013781,0.010129683,0.22611414,0.00570005,0.6237653,0.005762875,0.8607329,0.6816014,0.8240212,0.18610111,0.4879236,0.120785356,0.34743762,0.8787338,0.12813255,0.8887858,actor,0.26629254
img_0165,face_person,0.8260564,0.8260564,0.019461734,0.0026703912,0.0008539847,0.022645656,0.002075059,0.015634691,0.09666178,0.013940332,0.7190547,0.75592214,0.694895,0.58093446,0.90775543,0.14975442,0.67065805,0.47451082,0.054783035,0.62374,actor,0.49806032
img_0166,face_person,0.96622765,0.96622765,0.007087034,0.0013125682,0.0017045026,0.009075042,0.001811871,0.0013310859,0.009796675,0.001653454,0.7758268,0.9963218,0.9782364,0.22019732,0.19604279,0.46080586,0.37323976,0.54383343,0.031442985,0.065949656,actor,0.5260365
img_0167,scene_with_people,0.40853405,0.038858745,0.17474407,0.02217621,0.20105901,0.038069446,0.010473741,0.046798985,0.40853405,0.05928574,0.34722707,0.3198699,0.14727637,0.6432037,0.6337056,0.47105592,0.999252,0.3812799,0.024308646,0.2517842,marine animal,0.77605945
img_0168,cartoon_art,0.41323146,0.40635338,0.034209687,0.008746616,0.001050749,0.074355304,0.01394869,0.004264736,0.043839477,0.41323146,0.73135024,0.5574054,0.9127804,0.3248768,0.086467996,0.5478832,0.25450134,0.58602417,0.060699888,0.08216745,fictional movie character,0.5784923
img_0169,landscape_nature,0.25611505,0.1703811,0.1053617,0.021505544,0.25611505,0.23253536,0.01157275,0.05721701,0.12006663,0.025244882,0.13711219,0.40870902,0.9316298,0.14043453,0.88460714,0.60880303,0.99601966,0.09155946,0.0651035,0.57123274,flowers,0.97334
img_0170,object,0.8084001,0.036587924,0.0136986375,0.0018655276,0.027057912,0.8084001,0.0014381914,0.033251025,0.036867432,0.040833127,0.37637687,0.7548892,0.6335157,0.28600368,0.52906954,0.46982765,0.923778,0.03968795,0.010137098,0.028761001,flowers,0.19799633
img_0171,face_person,0.65084994,0.65084994,0.038506947,0.0017801203,0.0054519237,0.010185573,0.003984675,0.0034630157,0.022932582,0.26284528,0.7514519,0.8387012,0.91916925,0.31119782,0.20262218,0.19004929,0.5958513,0.7080321,0.095947534,0.06191009,fictional movie character,0.8134009
img_0172,object,0.85708946,0.05311463,0.03719616,0.0068841022,0.0010777784,0.85708946,0.00915991,0.013511545,0.021348309,0.00061805727,0.09316301,0.52069914,0.9750022,0.41267622,0.038816705,0.76252633,0.7255055,0.02056164,0.09383454,0.87487805,couple,0.17841884
img_0173,object,0.4031473,0.3555951,0.025186805,0.003263301,0.0060296105,0.4031473,0.010204612,0.032465465,0.030558577,0.13354923,0.44316688,0.916016,0.96382016,0.64491814,0.5944782,0.6403583,0.91681063,0.029996715,0.026263442,0.10225514,painting or artwork,0.21555763
img_0174,vehicle,0.95930785,0.0030997517,0.010399164,0.0014834439,0.012583733,0.010727673,0.95930785,0.0003609626,0.0008817003,0.0011556312,0.7210183,0.5062715,0.934838,0.09019827,0.41035792,0.8188415,0.5609137,0.1739351,0.048678335,0.6896066,truck or off-road vehicle,0.90005434
img_0175,face_person,0.8646919,0.8646919,0.0077760792,0.002168473,0.0013023717,0.013027799,0.0074727363,0.0037334596,0.06213414,0.037693158,0.34513542,0.9831443,0.8469677,0.83349675,0.41217333,0.22193341,0.7578857,0.46217814,0.09748751,0.055423174,fictional movie character,0.526782
img_0176,vehicle,0.8439943,0.004562522,0.0022321665,0.021293845,0.0038719624,0.019493986,0.8439943,0.0020854115,0.100944266,0.0015215,0.34396768,0.72542346,0.7513882,0.5874245,0.06723693,0.8613914,0.6659433,0.53056663,0.057762694,0.4704757,car,0.504234
img_0177,face_person,0.8276583,0.8276583,0.05293545,0.0044410443,0.0033557308,0.027661107,0.0063471766,0.015207363,0.032150485,0.03024334,0.57106125,0.90891665,0.98135823,0.8234213,0.54591084,0.07491954,0.63088304,0.707499,0.08129041,0.06903056,fictional movie character,0.6267328
img_0178,face_person,0.49925962,0.49925962,0.03446659,0.0069722193,0.006904147,0.009218649,0.009289163,0.007947866,0.32717648,0.09876524,0.4264051,0.9054824,0.6489523,0.18939659,0.32936767,0.157356,0.7971491,0.62372386,0.027339283,0.026767477,fictional movie character,0.52449596
img_0179,face_person,0.46767083,0.46767083,0.04862708,0.0035686134,0.00055988366,0.04005825,0.0080406135,0.0020032316,0.07718279,0.35228866,0.83700943,0.6003385,0.8583403,0.5774158,0.12863626,0.41817242,0.86069465,0.40143847,0.031537745,0.05952894,fictional movie character,0.54202384
img_0180,object,0.9243261,0.014112135,0.0034416532,0.0042705624,0.0020374442,0.9243261,0.006491691,0.01131928,0.01765052,0.016350456,0.14972381,0.6230947,0.98606783,0.89305484,0.15739647,0.9785175,0.14827468,0.53855,0.19862248,0.2260236,watch or jewelry,0.284093
img_0181,object,0.983955,0.0025433514,0.0025737241,0.0005505904,8.327367e-05,0.983955,0.0019781135,0.006047517,0.0008004949,0.0014678995,0.53129584,0.6375973,0.9995915,0.3709928,0.18522677,0.51642877,0.22112952,0.07125736,0.0738387,0.42582065,kitchen or household item,0.8111666
img_0182,object,0.93411267,0.019408345,0.0024473676,0.0004055317,0.0002651291,0.93411267,0.00042755224,0.04074013,0.0005337084,0.0016596398,0.29278165,0.8768113,0.9995197,0.88988066,0.29146233,0.92870885,0.024952129,0.052269768,0.023460636,0.09638769,kitchen or household item,0.71890444
img_0183,food,0.62695515,0.0069101662,0.0055171945,0.0004950051,0.00025521585,0.35501394,0.0014730566,0.62695515,0.0009072642,0.0024730298,0.5117762,0.7550078,0.9977429,0.4031996,0.34860745,0.5089884,0.20231357,0.13828304,0.045637585,0.18642664,kitchen or household item,0.633733
img_0184,object,0.9378255,0.019910248,0.0052040326,0.0054515023,0.0014185657,0.9378255,0.008095677,0.003128457,0.0033294437,0.015636558,0.27543566,0.98434204,0.9787264,0.3156622,0.045079853,0.9850927,0.015984142,0.07651448,0.07340734,0.15202264,watch or jewelry,0.99800175
img_0185,object,0.95109993,0.012053439,0.004083321,0.0022329348,0.00061038113,0.95109993,0.00506744,0.015086456,0.0012310193,0.008535081,0.34761018,0.62149787,0.9733927,0.37144116,0.3530691,0.9896792,0.66792613,0.04182728,0.19589554,0.19730334,clothing or bag,0.9972638
img_0186,object,0.94108754,0.00925366,0.012195556,0.0023693265,0.00042503918,0.94108754,0.013907827,0.013761587,0.0040283315,0.0029710815,0.36464983,0.92819613,0.990189,0.32188323,0.24201311,0.9871788,0.05479439,0.12798624,0.023958584,0.30066854,phone or computer,0.9868217
img_0187,object,0.9622597,0.005631356,0.006201893,0.001842861,0.0009666916,0.9622597,0.011694097,0.0027990453,0.0044846507,0.0041196584,0.083628364,0.617455,0.9287521,0.10906546,0.09956986,0.9885245,0.06307276,0.036901284,0.038361143,0.65418226,phone or computer,0.97384745
img_0188,object,0.71615136,0.030175343,0.01654441,0.0062818974,0.001005862,0.71615136,0.019521277,0.04690116,0.15517162,0.008247152,0.50937784,0.3700635,0.9511566,0.91219646,0.35091084,0.47478622,0.9978217,0.03935338,0.05722761,0.4261784,toy or ball,0.97548735
img_0189,face_person,0.70228845,0.70228845,0.106430866,0.0016526157,0.0014222165,0.082061954,0.018539343,0.024215398,0.05329494,0.010094269,0.15896247,0.95723933,0.7015721,0.89071804,0.7304976,0.37219495,0.59303635,0.20609927,0.82760245,0.9694547,child,0.8595057
img_0190,face_person,0.73754996,0.73754996,0.04165633,0.002059252,0.0020481,0.06420371,0.010387531,0.012115171,0.0940134,0.035966553,0.14516339,0.95107794,0.9595554,0.49494806,0.34544373,0.6051608,0.43779156,0.83604616,0.92125714,0.0100313965,child,0.7098954
img_0191,face_person,0.82954615,0.82954615,0.035973508,0.0009993383,0.00055640657,0.038786992,0.005758314,0.012418628,0.007324636,0.06863612,0.23542167,0.9697174,0.9243451,0.85936964,0.5699873,0.19597276,0.007505606,0.64495265,0.9348284,0.02307924,child,0.8011239
img_0192,face_person,0.5183576,0.5183576,0.040525157,0.005431164,0.0026822034,0.13654499,0.012636726,0.014567271,0.1667419,0.102512956,0.25108847,0.9682083,0.98664165,0.7642111,0.24803686,0.5520766,0.47235352,0.6101795,0.8870346,0.24107003,child,0.524792
img_0193,face_person,0.77621955,0.77621955,0.054185104,0.0020592555,0.0013504903,0.060685135,0.009786456,0.006308062,0.080623545,0.008782366,0.2935666,0.97029537,0.95295346,0.22038306,0.21714647,0.48164237,0.598375,0.7744229,0.64812845,0.93923086,elderly person,0.93777347
img_0194,face_person,0.84956616,0.84956616,0.069737166,0.002845519,0.0022323106,0.04101717,0.0017695884,0.0030904552,0.008525732,0.021215882,0.20671569,0.9599832,0.7651015,0.94964314,0.50386995,0.11488923,0.3972262,0.46220374,0.048178297,0.027114684,elderly person,0.22838287
img_0195,face_person,0.4981535,0.4981535,0.007708733,0.0020151052,0.00536842,0.2724787,0.0036059609,0.025416499,0.16595846,0.019294627,0.06763611,0.98015255,0.96667236,0.76806897,0.6639852,0.44975418,0.38137388,0.516777,0.08595831,0.0042870473,elderly person,0.17684992
img_0196,face_person,0.4707424,0.4707424,0.02168099,0.0035701534,0.010383601,0.1381734,0.019701796,0.03370112,0.28723374,0.014812755,0.13317436,0.95965445,0.95474815,0.7039285,0.6246858,0.35063672,0.31415325,0.32563236,0.018561915,0.9430959,couple,0.508519
img_0197,face_person,0.719867,0.719867,0.049701046,0.0014161115,0.0024169087,0.02852453,0.009307182,0.014890547,0.088608965,0.08526774,0.13258803,0.97048336,0.9253581,0.3660664,0.3841718,0.44212082,0.0019612422,0.9650764,0.87221056,0.09095413,child,0.8037484
img_0198,landscape_nature,0.39431933,0.039553184,0.034659233,0.28469115,0.39431933,0.09426156,0.02553195,0.032102153,0.044136297,0.05074517,0.04852549,0.11493774,0.9103895,0.026572056,0.6115882,0.36236477,0.7468905,0.51300806,0.13299282,0.42253438,bridge,0.27989513
img_0199,landscape_nature,0.55384237,0.02777392,0.018388383,0.08591091,0.55384237,0.22934364,0.035044894,0.019498244,0.019148339,0.011049304,0.12116768,0.20567702,0.967155,0.014699688,0.64915913,0.45851064,0.9844395,0.27721146,0.27876076,0.67778486,forest or field,0.6859496
img_0200,landscape_nature,0.43122584,0.03973796,0.07402338,0.22074403,0.43122584,0.0756696,0.05876475,0.03673436,0.0218849,0.041215148,0.26646125,0.09219843,0.8439185,0.029916735,0.60866904,0.2006531,0.98925203,0.71764964,0.21550773,0.7731719,bridge,0.26381212
img_0201,landscape_nature,0.6915321,0.0030347179,0.0026960468,0.26904705,0.6915321,0.006022803,0.013498836,0.0009199539,0.01165823,0.0015902354,0.13318053,0.30407232,0.4182281,0.021103272,0.57311904,0.6613131,0.8245196,0.24188821,0.05656838,0.06447297,desert,0.52018726
img_0202,landscape_nature,0.42058626,0.030654037,0.035338618,0.26808792,0.42058626,0.12978926,0.01745642,0.034164783,0.05111875,0.012804025,0.515214,0.15612021,0.80935454,0.08569851,0.39319384,0.90403014,0.91630745,0.53953767,0.12654273,0.5281955,beach or island,0.31071663
img_0203,landscape_nature,0.9509679,0.004246025,0.0031253928,0.016179794,0.9509679,0.0042896885,0.013393809,0.0017183686,0.0049727294,0.0011062018,0.15534706,0.15169665,0.7776388,0.0059574125,0.6194209,0.23388025,0.9804693,0.4434333,0.1306953,0.4983096,mountain or canyon,0.288331
img_0204,landscape_nature,0.6746779,0.052993733,0.01802055,0.052821476,0.6746779,0.100381814,0.008513246,0.039489385,0.045971204,0.007130702,0.14782481,0.43475232,0.95699155,0.103083126,0.4777897,0.72452325,0.99021894,0.28025225,0.06898731,0.698397,beach or island,0.9956273
img_0205,landscape_nature,0.51532143,0.04362684,0.04308043,0.18993627,0.51532143,0.07823865,0.03987527,0.025992658,0.051358137,0.012570379,0.32096675,0.38582563,0.96507436,0.011409649,0.33458138,0.4906508,0.9803288,0.23121525,0.055830173,0.8163575,bridge,0.43865135
img_0206,landscape_nature,0.812291,0.019922938,0.006914834,0.018180326,0.812291,0.069928125,0.03616093,0.010273559,0.019848332,0.0064798486,0.23405665,0.20455502,0.9681106,0.06527715,0.39608136,0.6407619,0.85356796,0.40637416,0.13380866,0.07884481,desert,0.9853258
img_0207,animal,0.67455375,0.0394709,0.67455375,0.007357707,0.06748712,0.025181998,0.0135719525,0.017644431,0.13664064,0.018091476,0.5025954,0.5684738,0.5939065,0.21464737,0.88081056,0.39438227,0.6756033,0.45637378,0.047279514,0.2028543,marine animal,0.18666974
img_0208,animal,0.90322185,0.04402545,0.90322185,0.0034303197,0.0017255181,0.0295026,0.0012546816,0.010032912,0.0023918503,0.004414753,0.54789406,0.80180645,0.89661527,0.13946159,0.7282337,0.52557856,0.5202559,0.37838462,0.045039065,0.5956065,marine animal,0.273198
img_0209,animal,0.91483045,0.05729731,0.91483045,0.00070103584,0.0051419274,0.008452805,0.0032668435,0.0059037893,0.0012001621,0.00320568,0.2923758,0.8822043,0.7686433,0.17070392,0.9214245,0.37872246,0.7026648,0.7168884,0.03981361,0.14316218,wild mammal,0.31530216
img_0210,animal,0.87030274,0.094206445,0.87030274,0.0038841763,0.0047221826,0.0146546755,0.0025347958,0.003293642,0.0028730836,0.0035282285,0.6518416,0.92618555,0.84203863,0.18822981,0.8457995,0.24544334,0.84560627,0.56519705,0.20838933,0.35853595,baby,0.18216269
img_0211,animal,0.6300523,0.14356795,0.6300523,0.0066362163,0.010690304,0.12025745,0.017101672,0.02723011,0.02428418,0.02017985,0.5555096,0.3455067,0.9319155,0.10609218,0.71238774,0.2790968,0.99880457,0.19031838,0.0034476959,0.51863474,bird,0.67218965
img_0212,animal,0.6727878,0.09363345,0.6727878,0.005140591,0.028892215,0.08296509,0.010195556,0.05481587,0.010959055,0.04061033,0.28831813,0.8851497,0.6474278,0.14564547,0.9289809,0.5760996,0.9535025,0.16539685,0.07643743,0.4547502,bird,0.82787377
img_0213,animal,0.7275507,0.07286738,0.7275507,0.012087229,0.015916055,0.09357285,0.014649949,0.0153033715,0.0070120897,0.041040353,0.3436768,0.1637124,0.92623067,0.93942344,0.40770593,0.5254435,0.41495022,0.87987465,0.08287083,0.67125136,marine animal,0.87319666
img_0214,animal,0.83861375,0.07519504,0.83861375,0.0015031485,0.0009222361,0.052748017,0.002318298,0.023050454,0.00270223,0.0029469032,0.41148728,0.8174923,0.87938505,0.64477223,0.77085054,0.67829823,0.3180076,0.37797153,0.053530548,0.2737643,cat,0.5848384
img_0215,animal,0.82012945,0.066123195,0.82012945,0.001450432,0.004678659,0.08319945,0.003244047,0.010299832,0.006744958,0.004130052,0.37933567,0.38633782,0.83498794,0.052264567,0.81710035,0.3587974,0.4127252,0.55586195,0.064140834,0.27214542,dog,0.4192285
img_0216,vehicle,0.9797651,0.0013844713,0.0043097553,0.001717526,0.0005138803,0.0077541946,0.9797651,0.00056315266,0.0033478476,0.0006438892,0.20776577,0.45820335,0.64676094,0.061580695,0.38052467,0.70981497,0.97067004,0.4493936,0.041681822,0.71088827,car,0.9407414
img_0217,vehicle,0.992597,0.000848905,0.0011412855,0.001021778,0.00039749223,0.0026347667,0.992597,0.00018355426,0.00027261593,0.000902671,0.6654849,0.61655444,0.96561396,0.24066615,0.21281232,0.8094793,0.45250612,0.28468627,0.18148068,0.4625693,car,0.816838
img_0218,vehicle,0.84407735,0.0039823237,0.0023596243,0.0014045365,0.0011034852,0.030767392,0.84407735,0.0010456538,0.114852585,0.00040713052,0.15209864,0.8051898,0.81578976,0.6954698,0.11993036,0.8575173,0.96809095,0.22927997,0.08803525,0.31308287,car,0.8944447
img_0219,vehicle,0.9590632,0.0047689206,0.0070105745,0.00020372568,0.00047598945,0.00483979,0.9590632,0.0034564352,0.019475993,0.00070549984,0.54551744,0.81903154,0.6922009,0.36938834,0.3485966,0.9848492,0.8548454,0.3963547,0.43035588,0.053098504,truck or off-road vehicle,0.8818994
img_0220,vehicle,0.9480103,0.0059980033,0.008356122,0.0005861024,0.004303825,0.0062657674,0.9480103,0.009284823,0.015939917,0.0012550838,0.5276298,0.55175394,0.73648316,0.20984544,0.34925348,0.96088636,0.8294205,0.65565133,0.28690034,0.09729051,car,0.4854116
img_0221,vehicle,0.98723155,0.0027713964,0.002436237,0.00066453917,0.00024495475,0.0038610834,0.98723155,0.00035726468,0.0010775102,0.0013555357,0.377516,0.2587479,0.81369245,0.29575202,0.3200832,0.7456217,0.12405083,0.57430476,0.35346305,0.6877738,car,0.5027266
